fan	1	翻	395
fan	1	藩	19
fang	1	坊	58
fang	1	方	2720
fang	1	枋	1
fang	1	芳	332
fei	1	妃	183
fei	1	扉	1
fei	1	绯	24
fei	1	菲	19
fei	1	霏	8
fei	1	非	558
fei	1	飞	927
fei	1	騑	9
fen	1	分	1554
fen	1	吩	227
fen	1	氛	11
fen	1	纷	179
fen	1	芬	15
fen	1	雰	5
fen	1	餴	1
feng	1	丰	135
feng	1	封	395
feng	1	峰	49
feng	1	枫	5
feng	1	疯	159
feng	1	葑	7
feng	1	蜂	41
feng	1	锋	41
feng	1	风	1558
fu	1	夫	2153
fu	1	孵	4
fu	1	敷	35
fu	1	肤	48
fu	1	趺	1
fu	1	麸	1
ga	1	嘎	10
gai	1	该	914
gan	1	尴	21
gan	1	干	918
gan	1	杆	34
gan	1	漧	1
gan	1	玕	1
gan	1	甘	118
gan	1	矸	1
gan	1	竿	48
gan	1	肝	68
gang	1	冈	67
gang	1	刚	747
gang	1	纲	30
gang	1	缸	18
gang	1	罡	6
gang	1	肛	1
gang	1	钢	23
gao	1	槔	2
gao	1	櫜	2
gao	1	皋	13
gao	1	篙	12
gao	1	糕	41
gao	1	羔	40
gao	1	膏	53
gao	1	高	1190
gao	1	鼛	2
ge	1	割	100
ge	1	哥	1320
ge	1	戈	24
ge	1	搁	99
ge	1	歌	137
ge	1	疙	19
ge	1	胳	24
ge	1	鸽	3
gen	1	根	473
gen	1	跟	1486
geng	1	庚	28
geng	1	更	1597
geng	1	羹	43
geng	1	耕	10
gong	1	供	155
gong	1	公	984
gong	1	功	277
gong	1	宫	388
gong	1	工	213
gong	1	弓	76
gong	1	恭	121
gong	1	攻	187
gong	1	肱	1
gong	1	蚣	2
gong	1	觥	9
gong	1	躬	50
gong	1	龚	3
gou	1	佝	2
gou	1	勾	158
gou	1	沟	17
gou	1	篝	5
gou	1	钩	60
gu	1	估	32
gu	1	咕	82
gu	1	姑	1427
gu	1	孤	143
gu	1	沽	7
gu	1	箍	12
gu	1	罛	2
gu	1	菇	13
gu	1	菰	1
gu	1	觚	2
gu	1	辜	70
gu	1	酤	4
gu	1	鸪	2
gua	1	刮	38
gua	1	呱	18
gua	1	栝	1
gua	1	瓜	85
gua	1	騧	2
gua	1	鸹	9
guai	1	乖	118
guan	1	倌	3
guan	1	关	598
guan	1	冠	54
guan	1	官	1071
guan	1	棺	37
guan	1	莞	6
guan	1	观	273
guan	1	鳏	6
guang	1	光	1021
guang	1	咣	3
guang	1	洸	4
guang	1	胱	1
gui	1	圭	12
gui	1	归	511
gui	1	珪	12
gui	1	瑰	28
gui	1	皈	5
gui	1	袿	2
gui	1	规	147
gui	1	闺	52
gui	1	龟	22
guo	1	聒	9
guo	1	蝈	12
guo	1	郭	23
guo	1	锅	34
ha	1	哈	352
hai	1	咍	1
han	1	憨	22
han	1	犴	1
han	1	酣	11
han	1	顸	1
han	1	鼾	3
hang	1	夯	5
hao	1	蒿	14
hao	1	薅	1
he	1	呵	186
he	1	喝	568
he	1	嗬	1
hei	1	嘿	80
hei	1	黑	419
heng	1	亨	7
heng	1	哼	260
hong	1	哄	159
hong	1	烘	14
hong	1	薨	22
hong	1	轰	36
hu	1	乎	732
hu	1	呼	379
hu	1	唿	4
hu	1	幠	2
hu	1	忽	607
hu	1	惚	58
hu	1	曶	2
hu	1	糊	349
hu	1	膴	4
hua	1	花	6261
huan	1	欢	615
huan	1	獾	4
huan	1	讙	2
huang	1	慌	376
huang	1	肓	4
huang	1	荒	396
hui	1	徽	8
hui	1	恢	168
hui	1	挥	176
hui	1	晖	3
hui	1	灰	125
hui	1	睢	4
hui	1	翚	1
hui	1	袆	1
hui	1	诙	3
hui	1	辉	63
hui	1	隳	2
hui	1	麾	7
hun	1	婚	63
hun	1	惛	3
hun	1	昏	221
hun	1	荤	12
hun	1	阍	2
huo	1	豁	18
ji	1	乩	13
ji	1	几	2652
ji	1	击	209
ji	1	叽	16
ji	1	咭	12
ji	1	唧	162
ji	1	基	84
ji	1	姬	33
ji	1	屐	5
ji	1	嵇	2
ji	1	机	407
ji	1	激	195
ji	1	犄	3
ji	1	玑	3
ji	1	畸	8
ji	1	畿	4
ji	1	矶	15
ji	1	积	96
ji	1	稽	23
ji	1	笄	5
ji	1	箕	11
ji	1	缉	31
ji	1	羁	12
ji	1	肌	38
ji	1	讥	9
ji	1	赍	1
ji	1	跻	7
ji	1	隮	4
ji	1	饥	55
ji	1	鶺	1
ji	1	鸡	186
ji	1	齑	2
jia	1	佳	76
jia	1	加	478
jia	1	嘉	75
jia	1	夹	96
jia	1	家	4909
jia	1	枷	47
jia	1	浃	3
jia	1	珈	3
jia	1	葭	14
jia	1	袈	2
jia	1	跏	5
jian	1	兼	68
jian	1	坚	120
jian	1	奸	66
jian	1	尖	151
jian	1	搛	4
jian	1	歼	6
jian	1	煎	42
jian	1	监	185
jian	1	笺	17
jian	1	缄	1
jian	1	肩	119
jian	1	艰	56
jian	1	菅	5
jian	1	蒹	9
jian	1	蕳	4
jian	1	豜	2
jian	1	间	1803
jian	1	鞯	1
jian	1	鹣	1
jiang	1	僵	53
jiang	1	姜	52
jiang	1	将	2170
jiang	1	江	1191
jiang	1	浆	24
jiang	1	疆	46
jiang	1	缰	14
jiang	1	豇	1
jiao	1	交	571
jiao	1	姣	14
jiao	1	娇	124
jiao	1	憍	2
jiao	1	椒	39
jiao	1	浇	30
jiao	1	焦	97
jiao	1	礁	1
jiao	1	胶	22
jiao	1	艽	1
jiao	1	蕉	34
jiao	1	蛟	7
jiao	1	跤	14
jiao	1	郊	26
jiao	1	骄	38
jiao	1	鲛	13
jiao	1	鷮	1
jie	1	喈	22
jie	1	嗟	64
jie	1	接	969
jie	1	揭	92
jie	1	湝	2
jie	1	皆	522
jie	1	街	161
jie	1	阶	65
jin	1	今	2840
jin	1	堇	1
jin	1	巾	78
jin	1	斤	78
jin	1	津	13
jin	1	矜	15
jin	1	禁	260
jin	1	筋	70
jin	1	衿	6
jin	1	襟	47
jin	1	金	1063
jing	1	京	316
jing	1	兢	36
jing	1	惊	790
jing	1	旌	19
jing	1	晶	79
jing	1	泾	8
jing	1	睛	471
jing	1	粳	10
jing	1	精	325
jing	1	经	1345
jing	1	茎	34
jing	1	荆	38
jing	1	菁	22
jing	1	鲸	6
jiong	1	駉	14
jiu	1	啾	6
jiu	1	揪	62
jiu	1	樛	8
jiu	1	究	211
jiu	1	纠	35
jiu	1	赳	8
jiu	1	阄	7
jiu	1	鸠	20
ju	1	凥	1
ju	1	匊	4
ju	1	居	440
ju	1	拘	64
ju	1	掬	5
ju	1	椐	1
ju	1	狙	1
ju	1	琚	4
ju	1	砠	2
ju	1	罝	7
ju	1	苴	7
ju	1	裾	1
ju	1	雎	4
ju	1	鞠	13
ju	1	鞫	8
ju	1	驹	16
juan	1	娟	10
juan	1	捐	12
juan	1	蠲	8
juan	1	镌	8
juan	1	鹃	440
jue	1	撅	3
jun	1	军	436
jun	1	君	555
jun	1	均	25
jun	1	菌	17
jun	1	钧	3
jun	1	麕	5
ka	1	喀	5
kai	1	开	2405
kai	1	揩	3
kai	1	锎	1
kan	1	勘	13
kan	1	堪	106
kan	1	龛	2
kang	1	康	46
kang	1	忼	2
kang	1	慷	6
kang	1	糠	4
ke	1	嗑	6
ke	1	坷	5
ke	1	柯	12
ke	1	棵	34
ke	1	瞌	3
ke	1	磕	142
ke	1	科	22
ke	1	窠	2
ke	1	苛	13
ke	1	薖	2
ke	1	蝌	108
ke	1	轲	1
ke	1	颏	2
ke	1	颗	93
keng	1	坑	67
keng	1	铿	6
kong	1	崆	21
kong	1	空	975
kou	1	抠	10
ku	1	哭	863
ku	1	堀	1
ku	1	枯	61
ku	1	窟	24
ku	1	骷	20
kua	1	夸	38
kua	1	姱	11
kuan	1	宽	125
kuang	1	匡	8
kuang	1	哐	1
kuang	1	筐	30
kuang	1	诓	9
kui	1	亏	222
kui	1	盔	17
kui	1	窥	25
kun	1	坤	48
kun	1	昆	99
kun	1	髡	1
kun	1	鲲	4
kun	1	鹍	2
la	1	啦	131
la	1	拉	535
la	1	邋	4
lang	1	啷	7
lao	1	捞	17
liao	1	撩	22
lin	1	拎	21
liu	1	溜	129
lu	1	噜	25
lu	1	撸	3
lun	1	抡	14
luo	1	啰	78
luo	1	捋	13
ma	1	妈	1127
man	1	颟	1
mao	1	猫	38
meng	1	矇	1
meng	1	蒙	178
mi	1	咪	3
mi	1	眯	51
miao	1	喵	1
mie	1	乜	6
mo	1	摸	319
nang	1	囔	11
ni	1	妮	1
nian	1	拈	51
nie	1	捏	99
niu	1	妞	12
o	1	喔	3
ou	1	欧	24
ou	1	殴	12
ou	1	瓯	1
ou	1	讴	5
ou	1	鸥	5
pa	1	啪	20
pa	1	葩	4
pa	1	趴	57
pai	1	拍	225
pan	1	攀	26
pan	1	潘	180
pang	1	乓	14
pang	1	滂	6
pang	1	雱	2
pao	1	抛	64
pei	1	呸	25
pei	1	醅	1
pen	1	喷	77
peng	1	嘭	9
peng	1	怦	15
peng	1	烹	21
peng	1	砰	6
pi	1	伾	2
pi	1	劈	69
pi	1	噼	4
pi	1	批	45
pi	1	披	117
pi	1	砒	7
pi	1	秠	2
pi	1	纰	7
pi	1	霹	11
pi	1	駓	3
pian	1	偏	387
pian	1	篇	412
pian	1	翩	47
piao	1	剽	1
piao	1	嘌	2
piao	1	漂	117
piao	1	飘	237
pie	1	撇	23
pie	1	瞥	12
pin	1	姘	1
pin	1	拼	157
ping	1	乒	10
ping	1	娉	1
ping	1	頩	2
po	1	坡	65
po	1	泼	91
po	1	颇	34
pou	1	剖	11
pu	1	仆	66
pu	1	噗	13
pu	1	扑	164
pu	1	痡	2
pu	1	铺	180
qi	1	七	534
qi	1	僛	2
qi	1	凄	98
qi	1	嘁	12
qi	1	妻	228
qi	1	悽	3
qi	1	慼	1
qi	1	戚	158
qi	1	期	143
qi	1	栖	30
qi	1	棲	2
qi	1	欹	2
qi	1	欺	140
qi	1	沏	14
qi	1	漆	90
qi	1	萋	21
qi	1	蹊	4
qia	1	掐	63
qian	1	佥	1
qian	1	千	5281
qian	1	愆	11
qian	1	搴	6
qian	1	牵	121
qian	1	签	56
qian	1	褰	7
qian	1	谦	54
qian	1	迁	122
qian	1	铅	1
qian	1	阡	525
qian	1	骞	4
qiang	1	呛	11
qiang	1	戕	4
qiang	1	戗	3
qiang	1	抢	188
qiang	1	斨	6
qiang	1	枪	120
qiang	1	玱	3
qiang	1	羌	18
qiang	1	腔	39
qiang	1	跄	56
qiang	1	锵	15
qiao	1	敲	87
qiao	1	橇	4
qiao	1	跷	8
qiao	1	蹻	10
qiao	1	锹	5
qie	1	切	537
qin	1	亲	1526
qin	1	侵	41
qin	1	綅	1
qin	1	衾	32
qin	1	钦	36
qin	1	骎	4
qing	1	倾	85
qing	1	卿	643
qing	1	圊	1
qing	1	清	1255
qing	1	蜻	4
qing	1	轻	1387
qing	1	青	537
qiu	1	丘	55
qiu	1	楸	5
qiu	1	湫	3
qiu	1	秋	488
qiu	1	邱	10
qiu	1	鳅	6
qiu	1	鹙	1
qu	1	区	31
qu	1	屈	160
qu	1	岖	5
qu	1	曲	188
qu	1	祛	7
qu	1	蛆	11
qu	1	蛐	6
qu	1	袪	3
qu	1	诎	1
qu	1	趋	15
qu	1	躯	19
qu	1	驱	76
